TITLE,USER,COMMENT,LABEL
IQ15,inad,"hi i have pair of turbosound iq15 speacers, the issue im having is that no matter what i do to fix the sound quality just doesnt achive whats expected form 1600 dollors speakers, can anyone help me solve this issue?",awareness
Perform VK & Bass Guitar,danraschke,"I have a Perform VK and so far it works great with a keyboard.  Question for you, has anyone tried it with a Bass guitar feedig it?  Like to hear if anyone has tried this.",consideration
TCH Perform VK: Harmony no longer functioning correctly.,ParadoxMike,"Hey,   My Perform VK Harmony function had been working fine until a couple of weeks ago, it no longer produces harmonies that have anything to do with the chords played on my keyboard.  I'm using a Yamaha ...",decision
VL3X - VL3X Crash during Track or Performance Import,heli1,"Hello everyone!For some time I have had a problem importing backing tracks and importing performance tracks with my VL3X.After I have selected the track or the performance and confirmed it with the control knob, it takes...",awareness
Nova Series compatibility issues with Mission Expression Ped...,BDavidDurall,"I've been through two Mission expression pedals and can't get them to calibrate with the Nova System.Heel position = 0When I slowly move to toe position, I get about 15 at halfway position, then it ticks down to zero at ...",awareness
tc feedback 2 cuatom 2290,robert24,"hi all!i'm trying to modify stock 2290 and tape profile but when i use toneprint app i cannot ear any delay from these two profile if i try to put them on custom profiles..if i use stoc 2290 amd tape, i can hear repetiti...",awareness
Which version of Android for latest Toneprint ?,spookydirt,"The latest version of Toneprint my phone will download is 4.0.06 , although the actual latest is (i think)  4.1.xI think this is because my phone won't upgrade past Android 5.1Does anyone know which version of Andro...",awareness
Voicelive 3 Extreme Backing Track Question,cynicguru,"Greetings,I've been the proud owner of my Voicelive 3 Extreme for a few years, and only recently started utilizing the awesome backing track features. Everything is running great...however, I do have one question: I've n...",decision
Voicelive 3 Extreme Headphone Mix,cynicguru,"Greetings,This question is about the headphone mix on the Voicelive 3 Extreme. I feel the harmonies are a bit too loud for me in the heaphone mix, but just perfect going out to the house speakers. Is there a way to turn ...",consideration
IQ15,inad,"hi i have pair of turbosound iq15 speacers, the issue im having is that no matter what i do to fix the sound quality just doesnt achive whats expected form 1600 dollors speakers, can anyone help me solve this issue?",decision
Perform VK & Bass Guitar,danraschke,"I have a Perform VK and so far it works great with a keyboard.  Question for you, has anyone tried it with a Bass guitar feedig it?  Like to hear if anyone has tried this.",retention
TCH Perform VK: Harmony no longer functioning correctly.,ParadoxMike,"Hey,   My Perform VK Harmony function had been working fine until a couple of weeks ago, it no longer produces harmonies that have anything to do with the chords played on my keyboard.  I'm using a Yamaha ...",decision
VL3X - VL3X Crash during Track or Performance Import,heli1,"Hello everyone!For some time I have had a problem importing backing tracks and importing performance tracks with my VL3X.After I have selected the track or the performance and confirmed it with the control knob, it takes...",awareness
Nova Series compatibility issues with Mission Expression Ped...,BDavidDurall,"I've been through two Mission expression pedals and can't get them to calibrate with the Nova System.Heel position = 0When I slowly move to toe position, I get about 15 at halfway position, then it ticks down to zero at ...",retention
tc feedback 2 cuatom 2290,robert24,"hi all!i'm trying to modify stock 2290 and tape profile but when i use toneprint app i cannot ear any delay from these two profile if i try to put them on custom profiles..if i use stoc 2290 amd tape, i can hear repetiti...",awareness
Which version of Android for latest Toneprint ?,spookydirt,"The latest version of Toneprint my phone will download is 4.0.06 , although the actual latest is (i think)  4.1.xI think this is because my phone won't upgrade past Android 5.1Does anyone know which version of Andro...",awareness
Tone Print problem,joeglow,"I have been a TC amp, cabinet and pedal user for years. I currently play only TC gear. I have always been able to beam toneprints to my pedals from my phone but I recently upgraded my phone to the iphone 10XR a...",decision
Toneprints,billyears,"Hi,PLease Help - recently bought a Flashback 2 Delay, loving it with my bass. When you've loaded a toneprint template to pedal, how can you check which one it is?  I have uploaded 3 but I now cannot remeber whi...",decision
BQ 500 minimun speaker power,vini17,"Hello, I have a 250w 8Ohm cab. Is that enough power for the BQ500 or any 500watt head? or i have to upgrade my cab?thanks!",awareness
Mash Tremolo and Mash Wah/Filter pedal PLEEEEEAAAASSSE,zeena81,The Mash feature is so awesome (as is the Toneprints).  I personally find the Mash control more expressive than a normal volume.expression pedal.  I think these two effects would benefit greatly from some Mashi...,advocacy 
TC Helicon VE output volume control?,braaaad,"Is there any way to increase the overall output volume? Not the gain... the volume the box actaully puts out. Also, is there any way to tweak the gate parameters? Thanks.",consideration
Separate footswitch for Harmony singer 2,Beevo,Does anyone know of a hack or instructions for fitting a separate foot switch to Harmony Singer 2? The reason being I want the unit up beside me at my mixer when performing live so I can adjust the settings for different...,awareness
x32and xlive,ssnider1955,I have recently purchased a SD16. My prioblem is that with the SD16 hooked up I cannot record to my XLive anymore. It will play back audio that I previously recorded but will not record new audio. Any suggestions?,decision
"Vocal pedal recommendation, sound smoothing",Kat_Berlin,"What I'm looking for is an octave pedal that can pitch a voice down, but can also ""smooth"" out the sound, almost like when you put a guitar through a tube pedal and then round off the higher eq's, so there's no texture, ...",consideration
TC Helicon PlayAcoustic Voice (L) to Amplifier,Duffer,I'm trying to plug my TC Helicon PlayAcoustic Voice (L) into a Behringer Ultracoustic AT108 amplifier's MIC INPUT. All I'm getting is feedback.Can the PlayAcoustic mic output go directly into the Behringer amp's MIC INPU...,decision
"Voicelive 3 Extreme flickering ligts, power problem, and con...",martinutzurrum1,"Please help! My vl3x or voicelive 3 extreme suddenly has gone crazy!When using both wireless and wired mic, the lights keep flickering, on and off, then the unit just reboots! What shall I do? Nobody from tc helicon...",negative
VoiceLive3: Merging Presets,JeremyMurray-Wa,"Hi all,I've put together a quick VoiceLive3 tutorial on merging guitar+vocal presets <click here> - hope you find it useful.Rgds,Jeremy. ",awareness
Harmony set up questions (its me not you),Sparkyval,"Hello, So I bought this voice live 3 a couple of years ago but due to vocal problems did not use it ever. Now I am back gigging and want to work it in. I am trying to figure out how to set up a very simple harmony a...",decision
Does the TC Helicon Voice Liveplay Extreme 3 send out midi p...,flyingsnowman,Does the TC Helicon Voice Liveplay Extreme 3 send out midi program changes?,consideration
"Setting Wet / Dry outputs on Flashback 2, Corona and Vortex ...",cowbell-fever,Hi all - need some advice if this is possible with TC Toneprint pedals. I have a small gigging rig and want to move to a Dry/Wet set up. My rig will have Guitar to Drive pedals into amp1 input.  Effects se...,awareness
How to produce quality music covers in youtube?,LemonStudios,I really need suggestions and tips to improve the quality of my music covers! Do help me out!  This is the link to my channel https://m.youtube.com/channel/UCra5J-qZ8iEIk3XE1HyTT8A,awareness
Switch betweeen expression pedals to control VoiceLive 2,Scott_phares,I have two Proline PXP1 expression pedals and need to connect both through an AB switch to control the VoiceLive 2 due to logistics on stage. I can’t get this to work. I’m using the Boss FS-6 AB switch.,awareness
This Forum - Did no-one perform usability testing?,JeremyMurray-Wa,"Guys @ MusicTribe,Sorry, but this forum is UNUSABLE.Did you not do any User Testing before changing to this platform? As both an experienced musician/producer AND as a User Experience Consultant, I find this forum c...",negative
Switch recording inputs live?,OldMountainGeez,"Can you switch recording inputs (voicals, guitar, vocals & guitar) while looping live with the Switch 6?Surprised no one has addressed this issue yet. It seems like the ability to add guitar layers as the song progre...",consideration
Can't Beam Toneprint to Flashback if Shaker Mini has lat...,spookydirt,Hi everyone. Anyone had problems with 2 toneprint-enabled effects not playing nicely together?I have Shaker Mini running into Flashback (v1) and I can't beam a toneprint to the Flashback if the Shaker Mini has a latching...,awareness
Xenyx QX1002usb BALANCED OUTPUT QUESTION please,Jors,"Hello!I need to connect Xenyx QX1002usb output (Jack) to a pair of B112W at 12m distance. So connection in both B112W is with jack as well, not XLR.Do I need to go with a pair of 1/4 jack-jack TRS cable (3 wires) each fo...",consideration
VoiceLive Play and MP-76 Button Configuration,SilverSound,Voicelive Play and MP-76 Button ConfigurationCurrently attempting to configure the MP-76 mic with a VoiceLive Play and there are no button options in the setup menu. I ran the voicesupport 2 update and it now shows the m...,decision
"Voicelive Play - Hardtune ""effect"" different from ...",Leovan83,"Hey guys,On the pedal's ""settings"" section I've already adjusted the pitch correct function to 50%. And I guess it works (as in, it does something, since I hear the doubled sound of my voice and the corrected voice). How...",decision
"Voicelive Play - repeat effects on ""HIT"" mode?",Leovan83,"Hi guys,Quick question. If I have a preset where I constantly use the doubling effect, in this case set to ""1 voice tight"" but then, on the chorus, when I press HIT, aside from other effects, I'd like to change the doubl...",awareness
scene files?,DanGallant,Are there any scene files for a 4 or five piece band available...???Thanks Dan,awareness
Tannoy grf memory,brnomartini,"Good morning, because of an incorrect foam replacement this speaker does not sound the way it should. It's from a Tannoy Grf Memory. Is it possible to repair it and if so where? Is there the possibility of buying a used ...",awareness
X Air 18 is getting very hot,Synthonie,Since i buyed my X18 (around 2016 or 2017) it is very very hot. Nearly Hand Burning. I read somewhere it is normal. But now i have a friend who has the same...and he telld me his is only getting hand warm. So i thin...,decision
"Voicelive Play ""more comp"" for rock/metal vocals?",Leovan83,"Hello,I've recently gottren my new Voicelive Live and I've been using it on the ""normal"" tone setting. I sing in a hard rock/metal band (think Metallica, mostly raspy vocals, a few clean vocals and some screams). I was w...",decision
Toneprint Editor (Android) Not Working,bluesrocker99,"Hi all,I recently bought a Dreamscape (used), love the pedal but I can't get my android phone to beam toneprints. I can do it via usb from my laptop, and my phone app works perfectly on my Flashback pedal, so I'm not sur...",decision
MIDI over USB - Connections,TahicheGuillem,"Hi,I was trying to midi-control my VL3 from a Helix. I tried a male USB (square type) from helix to VL3 USB input (regular, not micro). No midi whatsoever even though I set midi over USB in settings. Using a regular midi...",consideration
TC Helicon Duplicator flashing help!,muzztone,"My Duplicator pedal is displaying a flashing red light intermittently.  Typically it only seems to happen during gigs!   When it happens the doubling effect is not working properly, though the tone seems o...",awareness
Tannoy GRF Memory,brnomartini,"Good morning, because of an incorrect foam replacement this speaker does not sound the way it should. It's from a Tannoy Gr Memory. Is it possible to repair it and if so where? Is there the possibility of buying a used o...",decision
X-Touch One with Cubase 8.5 - Fader issue affecting pitch be...,Circuit3,Just started using my new MS101 this weekend.MIDI Output doesn't send any pitch bend data. Only note-on and note-off.Is this a known issue?,decision
G Major 2 Firmware - Differences between versions? How to up...,ZioNN,"I own a G-Major 2 with optical I/O, firmware 1.01 R199 installed and I couldn´t find more information about releases 1.2 or newer. What are the differences between them? Could someone help me finding this information?&nb...",awareness
Perform-VE. Vocal Sample Synthesis- Sample Button tutorial,GeeDavey,https://www.youtube.com/watch?v=7bBlwf6vO1M I made this a long time ago- check it out!,consideration
TC Booster + Line Driver and Distortion Buzzing noise in low...,PeterM,"Hi, I have the above pedal and have been driven up the wall by buzzing in the lower register  of my guitar (low E to G sharp) when notes decay. A tech has been through the pedal, replaced burnt components and return...",awareness
Found a website like Riffstation,MechaN,Check it Out: Rehat Chords,consideration
FCB1010 PC filtering,GarethPont,"Hi All, can any FCB1010 users tell me if it can filter out the program change commands coming from a digital piano (Yamaha N1)? The piano PCs cannot be switched off (or the MIDI channel changed) so I need the note data t...",consideration
Perform V,UniversoVentura,PERFORM VObsolete??New software someday?,awareness
M32 external display,Meli66,Can I use an external usb display?,consideration
Device to help EQ?,DanielBarnes,I'm not really sure the right place to ask this.Is there a device that exists to help EQ an individual singer or instrument?  Or is there a way to do it with an RTA mic? I quite literally can't hear the EQ unle...,awareness
"neutron bad USB connectivity for firmware, model D firmware,...",atomicallylogic,"HiIve bought a lot of Behringer equipment over the last 5 years, and im getting pretty fed up with the lack of support and the very poor programing on their sorfware, its about time behringer started to finish a product ...",decision
Voicetone C1 with other TCH Products,Erik,"Hi, is it possible to connect a Voicetone C1 with other TCH products with only XLR inputs. Like a MM2 or a Harmony Singer?",consideration
Rc4 pedal CABLE?,TCRH750,I need to replace my RC4 footswitch pedal CABLE. I lost the stock one that was provided with RC4 pedal But i’m not sure which one to get that will work. The RC4 pedal Uses a 5pin Din male to male but i’m not sure if...,decision
Isolated output for looper (VL3),adriahmusic,"Here's what I'd like to do:Use dual mono to send guitar and voice separately thought XLR's and send loops only through 1/4"" jacks, without sending the actual guitar as well. Is it possible to do it on VL3?Tried to d...",consideration
"At TC Helicon, we know making presets it hard. So we hired s...",GeeDavey,David Hilderman shows the studio and introduces you to Robbie our full time music student intern who we have authoring presets for TC Helicon gear this the summer!!! Reply to this message with any reguests- all will be c...,awareness
Bugera BXD15A Bass amp question,Bassface5150,"Hi folks,this is my first post and not sure where to put this, so please excuse me if this is wrong.I have a question about my Bugera BXD15A bass amp that I hope someone can help me with. I know the volume ring is orange...",awareness
RD-808 Defaults,electro,Use the TR-909 Midi Map as the default RD-808 Midi Map.,consideration
V-Amp Pro available pedal,alessio71,"Hi everybody,I have a V-Amp Pro and I want to know if there is a pedal control for it.Thank you  ",awareness
TC RH450 Memory and Shift Buttons - Broken Again,klinton,How do I get replacements? And how do I fit them? K,awareness
Toneprint pitch shifting - any way to 'chunk' mash p...,stuckpixel,"OK - so I've put together my first toneprint -- the idea here is that I want to use the mash pedal to be able to easily switch the pitch of the harmonized note between a third, a forth and a fifth. I have it set to ...",awareness
Noise and Hiss,rboetger,I have a Nova Delay and a Dark Matter Distortion pedal.  Both exhibit excessive noise and hiss.   Is anyone elase having this issue?ThanksRon,awareness
A picture speaks more than a thousand words,UliBehringer,,
Bugera G20 infinium power tubes compatibility,pidri,"Hi, I recently got a used G20 infinium head. What are compatible power tube types? can I use 6L6 or 6V6? Is still true that I can try and mix different tube types in power section?",decision
Flashback Triple Delay + Toneprint editor...how do you set t...,Umbra,"So I have the Flashback Triple Delay and  the new version of the Toneprint editor (and Win7 and an Android phone) and although I can connect to the pedal and sort of creep through making a Toneprint, I can't for the...",awareness
Deepmind 12 Keyboard split for arpeggiator ?,efgnow,"Is there any way to set a keyboard split so the arpeggiator only affects the upper keyboard?Arpeggiating basic triad chords, I would like to be able to explore bass lines for them without affecting the arpeggiation. ...",awareness
G System Midi Channel Switching on Mesa Boogie TC50,PabloNajar,"Hello People,Recently I bought/exchange a G System for a few analog pedals amd then etc etc. the reason why I did this is because the midi capabilities on the g system and since my head (a Mesa Boogie TC50) comes with Mi...",decision
Harmony Singer,jjackson,"My HS works great but on acoustic open Dmaj chord, sometimes when I sing a certain note, the harmony produces a wrong note? Is this because I may be singing a note that is not in the 1,3,5 spectrum? Also, I want to ...",decision
Deepmind Editor App,DamoWaters,"Hi there. Really enjoying the Deepmind 12. I wondered if there was any way to use the Editor app to rename banks that you create? There is nothing in the manual about the editor at all, and I'm simply guessing at ho...",decision
X32 Playback issues,Gudfellastudios,Hello MT! I have the X32 Producer which I use as a controller for mixing in FL Studio 20 and Cubase 8. Up until recently I’ve been able to hear my playbacks in stereo. Any track I select  within my DAW to pan left o...,decision
Brainwaves - toneprint template with no pitch quantisation,kamczung,"Hi, I'm planning to get myself some brainwaves, but I need to make sure if it's capable of what I'm going to use it for  Is it possible to create a template in TonePrint Editor which will enable the 'voice...",consideration
Voicelive 3 extreme volume issue,tanman,"I recently bought a Voicelive 3 extreme for vocal effects. I got this thing used so i hope its not garbage.  The short of it is, i cant hear the mic input very well and when i do, it seems to be clipping. I've ...",consideration
Difference between UM100 and UM300,DelionDan,"Hi, I'm trying to find out the difference between the two pedals UM100 and UM300, can anybody help?",consideration
Guess the Synth,UliBehringer,Can you guess the synth? This one's at a very early stage and we're now building our first prototype. I am sure you're all getting excited - I definitely am as it's one of my all time favorites Uli,awareness
Neutron Firmware Update 2.0.0,FenTigger,I've been trying to update the firmware on my Neutron to v2.0.0 and I'm having the following issues:- I've connected the Neutron directly to my Mac Mini (2018) with Mac OS 10.14.5 and followed the instructions. The updat...,awareness
X32... Include House mix in a Bus so I can mix it with other...,Mosaic,"hi all,I could use a pointer on building a ""Bus"" mix for the X32... How do I grab the ""House Mix"" so I can add it back into a ""Bus"" Mix  ? I want to mix a ""Bus"" for an In-Ear-Monitor.  I will be ...",awareness
No Mic Signal,MoonKinnaird,Having IssuesI got my VL3X out of its flight case today when I put it away it was working fine now it has developed a fault in that it is not receiving any signal from the mic input.I've tested all my mics and leads and ...,decision
Neutron with new overlay,tth-music,Hi there. The Neutron sounds very good - but the red design is a little bit strange. But you can change it - with a little help from Finland. Have a look: The red design: And now my favourite ove...,consideration
Full editor Perform VK from TC,LeoCastro,"Hello, does anyone know if TC Helicon plans to launch a Full editor for the Perform VK? It would be very useful to have a little more control to customize the presets. Thank you very much in advance",consideration
Perform VK comments,LeoCastro,"Hi, I'm Leo, from Montevideo, Uruguay. I wanted to tell you about a couple of problems I've had with my Perform VK. The first is that sometimes when I turn it on, the blue LEDs turn and it never starts to work. If I disc...",decision
BXL3000 Ultrabass Footswitch,Tegamal,"I'm looking to buy one of these combos used, but it doesn't come with a footswitch. I use a Boss GT-100 for effects (4-cable), and it has a 1/4"" footswitch jack on it, so I'm fairly sure I can change the channel with it....",consideration
Voicelive Touch 2 Midi CC 110 Harm on/off SetList Maker &...,RandyB,"I am having a problem with my Voicelive Touch 2. Some background. First, I have been using your harmony pedals for years. GTX>VL2>VL3X>VLT2. Second, I am a little new to midi.  Here is my setup in summ...",decision
Extend the range of Deepmind 12 to transmit all MIDI Notes (...,beefpoweredcars,"I have been using my Deepmind as the master MIDI keyboard in my studio and it works quite well so far. I especially like that I can turn Local Control of the keyboard off, but the have it so the sliders and knobs are sti...",decision
Voicelive 3 Extreme midi control,JPF,"Hi, this is my first post here.I'm a voicelive 2 user but wanted to switch for the voicelive 3 extreme. Before doing so I had several questions concerning the available midi controls :  - Voicelive 2 ...",consideration
Behringer Ultrabass 2000,Muzuki65,Is there a Rackmount kit for this head,consideration
VoiceLive 3 - echo,linaxx19,"Hi, I have the voicelive3 extreme. I'm looking for a preset that harmonizes the echo and can not find one. Can you Help me?",awareness
Automating volume of mono outputs VL3X,JohnShepherd,I run my outs in mono on my VL3X. I don't use the guitar side. I want to be able to automate turning the level of the fx side up and down as needed so I don't have to use a footswitch to do it. I'm running an AxeFx and f...,awareness
Harmony Singer/Helicon C-1,jpbblues,"I have had my Harmony singer for several years, but in the last few weeks my guitar is also playing harmonies. Changed cables, and power supply. Not sure if this has been an issue.",awareness
Ultraacoustic acx1000 background noise,mysticpotato,"Hey All, I have a ACX1000 that has a lot of background noise.  This is even when nothing is plug in.  Is there any fixes for this?  Suggestions? Thanks Mike",awareness
Voicelive3extreme with microkorg,DavidDelemont,"Hi. I am trying to make my voicelive3extreme work with a Korg MicroKorg. I connect a midi cable from the out of the microkorg to the in of vl3e, I put the channel 1 of each and the harmony in midi, the harmony works very...",awareness
can the Helicon GXT accept MIDI commands,gWiiver,,awareness
Where is the innovation in redesigning a legacy synth?,UliBehringer,I believe people in general have an incorrect understanding when it comes to the effort required in reviving old synths. In fact the amount of innovation and engineering involved is substantial. Why?   Redesigning t...,awareness
Bad Forum...,DennisDubeau,"I thought that the previous forum was lame... Well, this one sucks... It's such a bad design. Nearly all the former contributors gave up... Bad move, Music Group... ",negative
Help needed setting up InukeNx6000D,zeeshantariq,Hello Guys . i new here and new with Inuke Nx6000D . i might have some setting probs with inuke nx6000d thought might someone here can help me out .  i have bought dual Dayton Ultimax UM18-22 and put them in Fu...,retention
Neutron 2.0 update osx issue,scarum,"I'm trying to update the Neutron to 2.0, but I can't because it says I need a newer OSX version. Which I'm not going to do, cuz my system is stable. Is there a solution? It's weird because in the update notes it say...",awareness
DS-80 Round 2,UliBehringer,Thank you for all the valuable input we have received from you. We went back to the drawing board and made some changes. Let us know your thoughts. Uli,retention
TC Helicon Voice Live touch 2,Svirko,"Dear friends!I'm new to this forum, so I'm sorry if I write something or explain a little wrong.I usually play keyboards like One Man band, and I recently bought TC Helicon Voice Live Touch2.I used many years of TC Helic...",awareness
Website Like Riffstation,MechaN,"Hello, I found a website just like riffstation. Check it out https://www.guitaa.com/chords/dayglow-can-i-call-you-tonight",awareness
MS-101 Arpeggiator Transpose like on the original?,SteveBrimstone,"Now that the sequencer's key transpose is fixed in the latest firmware, are there plans to extend transposing via the keyboard to  the arpeggiator? This was possible on the original and is also present on the ahem, ...",consideration
how to navigate this forum,steevo65,"ok, newbie here I've seen quite a few forums in my time but how on earth do you navigate this one?? it all seems so random and completely disorganised. I want to post a question regarding a TC play acoustic pedal - ...",awareness
VL3X Nova Drive,tdblanchard,"I'm wondering if there's a way to control my Nova Drive with the VL3X.Like, when I record a sequence, is there a way to assign a switch to engage the Nova Drive via MIDI?This would make for an ideal situation!!",awareness
TC BC215 bass amp problem,E-ninth,"Hi’ all,i have a problem with the above amp in that the TREBLE control has ceased to work.Everything else works fine. I have had it looked at by a local electronic engineer who I know to be good, but he cannot find the p...",decision
I have 32 Ch going into Adobe Audition but how to I get them...,jgippert,,
Amp repair Behringer,Eletrix,"I blew my Behringer ACX40 - ultraacoustic 2 channel amp — by playing it on 10, and running a pedal on full output through it.  Mistake! — trying to compete with rambunctious drummer.  Anyway, local repair guy d...",awareness
Bug in Neutron with VCF,tth-music,"Hi,my Neutron have a bug in the VCF.After some time, the frequency knob doesn't work anymore.after a restart of the neutron the frequency knob works fine again.  ",awareness
