Controlling lead mute,BrooksBrown,"I make heavy use of lead mute. My problem is that this makes switching presets time consuming because I have to make two switches: change the preset, and then go into setup and change lead mute off or on.Is there a way o...",Classification,Confidence
Micro Tuning and GM2 Transpose Support,KarimEl-Far,What is the best way to contact behringer?This is a very important feature to support Micro-Tuning and General Midi 2 support.,awareness,0.473
midi to control the variations,manmidi,"Hello everyone, just curious if it is possible to control the variations via a midi foot controller. Could this be built into a firmware upgrade? thanks.",consideration,0.607
Sub'N'Up Poly vs. Toneprint Issue,iggs,"Hey all,Toneprint sounds on the Sub'N'Up pedal are quite ""glitchy"" sounding in comparison to Poly mode for the exact same settings. Anyone else have this issue?To clarify ... when I make a toneprint to match the manual P...",advocacy,0.395
DeepMind 6 Not Receiving or Sending Midi,ZaneMiihlbach,Hey so im trying to control my DeepMind 6 with my master keyboard but i cant get it to respond to midi note data or pass midi on to the other synths i have in the midi chain. i updated to the latest firmware available o...,awareness,0.513
which tone print sounds mostly like a contra bass,HenkT,which tone print sounds mostly like a contra bassDo you have a suggestion?,awareness,0.299
Flashback 2 toneprint app recognizes pedal. Will not edit IO...,Badhabit,"TC owes me a $30 refund for the camera connector kit I just bought to connect my pedal to my iPad. It sees the the pedal, you can choose a template, but that’s all. The editor portion of the app doesn’t is not even viewa...",decision,0.631
Flashback 2 toneprint app recognizes pedal. Will not edit IO...,Badhabit,"TC owes me a $30 refund for the camera connector kit I just bought to connect my pedal to my iPad. It sees the the pedal, you can choose a template, but that’s all. The editor portion of the app doesn’t is not even viewa...",decision,0.631
Using ireal pro and preamp,NickCheetham,This may be a rookie question - I am using amplification for the first time as a violinist. I have a prodipe condenser microphone plugged via xlr into my mic500usb preamp. Output then goes to a Marshall guitar amp.I am ...,consideration,0.203
VoiceLive3 Extreme Looper,conskee,Just bought the VoiceLive3 Extreme and I am trying to master the Looper. I used another looper unit from another manufacturer and there is a feature on that looper called 'Auto Record'. How that works is you press the pe...,decision,0.421
Metal blade inside pedal under USB connect port,TPFB,"Hi!Simple question: inside the Flashback II pedal, there is a metal blade underneath where you plug in the USB cable that connects to a small square metal thingy on the back plate when you screw it together. What's it fo...",awareness,0.519
