TITLE,NAME,COMMENT,LABEL,CONFIDENCE
Difficulty with Behringer Guitar 2 usb cable,jtc831,I'm an experienced guitarist but still very new to digital recording. I recently bought a Behringer Guitar 2 USB cable in the hopes of using Adobe Audition to record my guitar and add other intruments later. I'm usi...,Classification,Confidence
How do you like the Music Apps you use? Take the survey!,TCH-Morgan," How do you like your music and singing apps? When do you use them, and how are they working for you?    In addition to TC Helicon's vocal processing hardware, we also develop apps, and we need your feedb...",,
DM12 Windows editor connection issues,Glestik55,Does anyone know if the new firmware addresses this? I have the DM12 and have never been able to connect or use the editor as reported in all of the other messages.  And it does not look like anyone from Behringer h...,awareness,0.592
Mini connection in the Corona Chorus,Chauncey,Bought a full-size Corona chorus in November 2018 and decided to plug in the mini port to use the toneprint editor just this week. (I am using the newest software and have a 2-month old computer with windows 10). If I pl...,,
Synths Resurrected Vol. 3,UliBehringer,"The Prophet 5 we recently acquired form the famous British band ""Tears For Fears"" was in bad shape - I mean really bad.Watch how the amazing guys from our UK Care center put all their love and care into this restoration...",awareness,0.417
Lack of suport by Music Tribe,fastedtex,"G5 sounding very bad.Replaced both tubes.Still sounds bad - Fizzy-fuzzy and low volume.Contacted support - 3 weeks ago. With the information that I changed tubes.I have recieved 1(one, 2 weeks after the 1st) email back a...",negative,0.672
X Air Edit on Win10 Tablet,Karma180,"Hi, is anyone using X Air Edit on a Windows 10 tablet (one of the cheap ones)? I'm not happy with the iPad interface but love the X Air Edit PC interface on my win 10 laptop (but its not touch screen). I'm looking for su...",consideration,0.662
Play acoustic reverb ?. (pre delay) on guitar only?,faceache,"Hi There, I recently acquired a play acoustic and I'm starting to figure it out. I know there is an advanced reverb setting for guitar effects in which a pre delay can be set,.There does not seem to be an advanced reverb...",awareness,0.81
Neutron and Volca Sample jam,NelsPeterson,https://youtu.be/5r7D5OxliKA,awareness,0.707
Parametric EQ TonePrint Pedal,jeddak01,"I love to use parametric EQ to tweak the front-end tone of my amplifier. I have the amazing Empress Effects parametric EQ pedal, but it does not store multiple presets - all I can do is turn it on and off, and kick in a ...",,
Feedback noise with Voicelive Play GTX,ry_cooder,"Hello, I've bought a second-hand VLP GTX, great unit. I tried at home it works wonderfully.But I had a lot of problems during rehearsal. I have a lot of feedback noise from the PA because the unit captures all the s...",decision,0.309
Anyone know how to find what software version is currently o...,GrantThompson,,,
VoicePlay Live Practice Mode percentages,Tlink211,With VoicePlay Live I reset my Practice Mode as I practice each song. My percentages seem kind of low 70% to about 85% in most cases.I'm wondering if others use practice mode in this way and what their common precentages...,awareness,0.794
TC Helicon Play Acoustic Issue (Pitch Correction),ahuaman96,"I've been using my own presets with Correct Natural and it works great, but after some minutes all presets with Pitch Correction start sounding out of pitch really really bad, even though I'm singing well.  If ...",decision,0.816
100% effect signal on Voicelive touch 2 or Perform series ?,Biomekkanik,"Hello!Before I run of and buy..Is it possible to have 100% effect signal in Voicelive touch 2 or Perform series and have no dry signal at all. I mean like reverb and delays.  Manuals often say ""level"" inst...",,
How many floor monitors with the Behringer EUROPORT EPS500MP...,CaptainSlocum,Does anyone know how many EUROLIVE B205D floor monitors I can daisy chain to the EUROPORT EPS500MP3? (which I'm thinking of buying).,awareness,0.85
TC Brainwaves WHAM volume drop,zeena81," [I think I posted this earlier in the wrong forum. my apologies]Hi, the volume of the whammy sweep on the wham setting is considerably lower than the normal guitar sound.  I realise a bit of volume drop is com...",awareness,0.307
BG250 lost its low end,threshar,I've been using a BG250 for a number of years - usually works great. I was playing the other night and after a little while most of the low end disappeared.  Now the only way I get some is to crank the bass eq ...,awareness,0.448
